title,address,price,duzenle,m2,rooms,furnished
Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month",65 m²/3 rooms/Furnished,65 m²,3 rooms,Furnished
Apartment Stationssingel,3033 HE Rotterdam (Provenierswijk),"€1,595 per month",99 m²/3 rooms/Upholstered,99 m²,3 rooms,Upholstered
Apartment Bergse Dorpsstraat,3054 GG Rotterdam (Hillegersberg Noord),"€1,750 per month",134 m²/5 rooms/Upholstered,134 m²,5 rooms,Upholstered
Apartment Luzacstraat,3038 VV Rotterdam (Bergpolder),"€1,150 per month",55 m²/1 room/Upholstered,55 m²,1 room,Upholstered
Apartment Prinses Margrietlaan,3051 AR Rotterdam (Hillegersberg Zuid),"€1,295 per month",60 m²/2 rooms/Furnished,60 m²,2 rooms,Furnished
Apartment Statenweg,3039 HK Rotterdam (Blijdorp),"€1,275 per month",115 m²/4 rooms/1939,115 m²,4 rooms,1939
Apartment Kortgenestraat,3086 JK Rotterdam (Pendrecht),€975 per month,62 m²/3 rooms/Upholstered,62 m²,3 rooms,Upholstered
Apartment Bergselaan 151 A,3037 BH Rotterdam (Liskwartier),"€1,225 per month",60 m²/2 rooms/Upholstered,60 m²,2 rooms,Upholstered
Apartment Van Bijlandtplaats,3012 GA Rotterdam (Cool),"€1,950 per month",100 m²/3 rooms/Upholstered,100 m²,3 rooms,Upholstered
Apartment Eendrachtsstraat,3012 XJ Rotterdam (Cool),"€1,400 per month",70 m²/2 rooms/Upholstered,70 m²,2 rooms,Upholstered
Apartment Stationssingel,3033 HE Rotterdam (Provenierswijk),"€1,595 per month",99 m²/3 rooms/Upholstered,99 m²,3 rooms,Upholstered
House Burgemeester Meineszlaan,3022 BN Rotterdam (Nieuwe Westen),"€2,095 per month",120 m²/5 rooms/Upholstered,120 m²,5 rooms,Upholstered
Studio C.P.Tielestraat 35 A,3023 TB Rotterdam (Nieuwe Westen),€750 per month,30 m²/1 room/Upholstered,30 m²,1 room,Upholstered
Apartment Schiedamse Vest,3011 BE Rotterdam (Cool),"€1,375 per month",75 m²/2 rooms/Furnished,75 m²,2 rooms,Furnished
Apartment Baan,3011 CC Rotterdam (Stadsdriehoek),"€2,150 per month",65 m²/2 rooms/Furnished,65 m²,2 rooms,Furnished
