COS ID,Order Number,Order Status,Order Date,City (Billing),Postcode (Billing),Country Code (Billing),City (Shipping),Payment Method Title,Cart Discount Amount,Order Subtotal Amount,Shipping Method Title,Order Shipping Amount,Order Refund Amount,Order Total Amount,Order Total Tax Amount,SKU,Item #,Item Name,Quantity,Item Cost,Coupon Code,Discount Amount,Discount Amount Tax,website
M10001,9560,On hold,2022-07-02 17:15:07,Klingenberg,63911,DE,Klingenberg,Banka havalesi/EFT,0.0,11.21,Kargo ucreti,4.9,0.0,16.89,0.78,,1.0,El Yapimi Dogal Kozalak Suyu,1.0,4.2,,,,memleket_pazari
M10001,9560,On hold,2022-07-02 17:15:07,Klingenberg,63911,DE,Klingenberg,Banka havalesi/EFT,0.0,11.21,Kargo ucreti,4.9,0.0,16.89,0.78,,2.0,Sivas Yoresi Şeker Ve Glikoz Icermeyen Dogal Petek Bal Koyu Renkli - 500,1.0,7.01,,,,memleket_pazari
M10002,9559,Pending payment,2022-07-02 12:49:18,nederland,3333,NL,nederland,,0.0,16.8,Shipping,4.9,0.0,21.7,0.0,,1.0,ozel uretim Taze Tereyagi 900 GR  Az Tuzlu,2.0,8.4,,,,memleket_pazari
M10003,9557,Processing,2022-07-02 12:40:10,Spandau,13585,DE,Spandau,PayPal,5.046729,50.44,ucretsiz gonderim,0.0,0.0,48.56,3.18,,1.0,Kuru Biber / Patlican / Kabak / 50 Adet - Patlican,2.0,4.57,memleket,5.05,0.35,memleket_pazari
M10003,9557,Processing,2022-07-02 12:40:10,Spandau,13585,DE,Spandau,PayPal,5.046729,50.44,ucretsiz gonderim,0.0,0.0,48.56,3.18,,2.0,"Dogal Kurutulmuş Patlican / Biber 25 Adet - 50, biber",2.0,4.57,,,,memleket_pazari
M10003,9557,Processing,2022-07-02 12:40:10,Spandau,13585,DE,Spandau,PayPal,5.046729,50.44,ucretsiz gonderim,0.0,0.0,48.56,3.18,,3.0,Natural Koy Peyniri - 1000 gr.,1.0,6.31,,,,memleket_pazari
M10003,9557,Processing,2022-07-02 12:40:10,Spandau,13585,DE,Spandau,PayPal,5.046729,50.44,ucretsiz gonderim,0.0,0.0,48.56,3.18,,4.0,ozel uretim Taze Tereyagi 900 GR  Az Tuzlu,1.0,7.57,,,,memleket_pazari
M10003,9557,Processing,2022-07-02 12:40:10,Spandau,13585,DE,Spandau,PayPal,5.046729,50.44,ucretsiz gonderim,0.0,0.0,48.56,3.18,,5.0,Şafak Koyun Tulum Peyniri 250g,1.0,3.11,,,,memleket_pazari
M10003,9557,Processing,2022-07-02 12:40:10,Spandau,13585,DE,Spandau,PayPal,5.046729,50.44,ucretsiz gonderim,0.0,0.0,48.56,3.18,,6.0,Dogal Antep Fistigi - 1000 gr.,1.0,10.09,,,,memleket_pazari
M10004,9555,Processing,2022-07-02 12:07:37,Germany,10999,DE,Germany,PayPal,0.0,17.24,Kargo ucreti,4.9,0.0,23.35,1.21,,1.0,Şafak Koyun Tulum Peyniri 250g,5.0,3.45,,,,memleket_pazari
