CUS ID,Order Number,Order Status,Order Date,City (Billing),Postcode (Billing),Country Code (Billing),Payment Method Title,Cart Discount Amount,Order Subtotal Amount,Shipping Method Title,Order Shipping Amount,Order Refund Amount,Order Total Amount,Order Total Tax Amount,Item #,Item Name,Quantity,Item Cost,Coupon Code,Discount Amount,Discount Amount Tax,website
1764,1518,Abgeschlossen,2017-07-21 14:34:00,Essen,45143,DE,PayPal,0.0,11.68,bis 1kg,3.6916,0.0,16.45,1.08,1,Colmeneros de Granada Kastanien-BlUten-Honig 400 gr,1,11.68,,,,pergamo
1899,1683,Abgeschlossen,2017-09-05 12:05:31,Koln,50668,DE,PayPal,0.0,20.56,bis 1kg,3.6916,0.0,25.95,1.7,1,"Kaltgepresstes Extra natives Olivenol Royal Cazorla 2,5 L Säure&lt;0,4%",1,20.56,,,,pergamo
2462,1688,Abgeschlossen,2017-09-10 12:53:04,Oldenburg,26129,DE,PayPal,0.0,25.77,bis 1kg,3.6916,0.0,31.53,2.06,1,Bio Honig Lavandel 450 gr,1,8.4,,,,pergamo
2462,1688,Abgeschlossen,2017-09-10 12:53:04,Oldenburg,26129,DE,PayPal,0.0,25.77,bis 1kg,3.6916,0.0,31.53,2.06,2,Bio Honig OrangenblUten 450 gr,1,8.4,,,,pergamo
2462,1688,Abgeschlossen,2017-09-10 12:53:04,Oldenburg,26129,DE,PayPal,0.0,25.77,bis 1kg,3.6916,0.0,31.53,2.06,3,Bio Honig Zitrone 450 gr,1,8.97,,,,pergamo
2536,1696,Abgeschlossen,2017-09-20 23:28:58,BUren,33142,DE,PayPal,0.0,98.49,bis 1kg,3.6916,0.0,109.32,7.15,1,"Rincon De La Subbetica, okologisch, 500 ml",1,16.82,,,,pergamo
2536,1696,Abgeschlossen,2017-09-20 23:28:58,BUren,33142,DE,PayPal,0.0,98.49,bis 1kg,3.6916,0.0,109.32,7.15,2,"Kaltgepresstes Extra natives Olivenol Royal Premium Cazorla 500 ml Säure&lt;0,4%",1,11.22,,,,pergamo
2536,1696,Abgeschlossen,2017-09-20 23:28:58,BUren,33142,DE,PayPal,0.0,98.49,bis 1kg,3.6916,0.0,109.32,7.15,3,Natives Olivenol Extra Alma Oliva Arbequino 500ml,1,12.61,,,,pergamo
2536,1696,Abgeschlossen,2017-09-20 23:28:58,BUren,33142,DE,PayPal,0.0,98.49,bis 1kg,3.6916,0.0,109.32,7.15,4,"Parqueoliva Goldserie. Olivenol, 500ml",1,14.02,,,,pergamo
2536,1696,Abgeschlossen,2017-09-20 23:28:58,BUren,33142,DE,PayPal,0.0,98.49,bis 1kg,3.6916,0.0,109.32,7.15,5,Schwarze Oliven Gold 1500 g,1,8.88,,,,pergamo
2536,1696,Abgeschlossen,2017-09-20 23:28:58,BUren,33142,DE,PayPal,0.0,98.49,bis 1kg,3.6916,0.0,109.32,7.15,6,GrUne Oliven 2260 g,1,9.25,,,,pergamo
2536,1696,Abgeschlossen,2017-09-20 23:28:58,BUren,33142,DE,PayPal,0.0,98.49,bis 1kg,3.6916,0.0,109.32,7.15,7,Bio Essig VB VinagreP.X. Robles 250 ml,1,4.2,,,,pergamo
2536,1696,Abgeschlossen,2017-09-20 23:28:58,BUren,33142,DE,PayPal,0.0,98.49,bis 1kg,3.6916,0.0,109.32,7.15,8,BIO SchwarzkUmmelol 250 ml,1,21.49,,,,pergamo
2563,1704,Storniert/Abgebrochen,2017-09-27 21:31:26,Thale,06502,DE,PayPal,0.0,120.54,kostenloser Versand!,0.0,0.0,128.98,8.44,1,"Kaltgepresstes Extra natives Olivenol Parqueoliva 3 Liter Säure 0,18",2,27.57,,,,pergamo
2563,1704,Storniert/Abgebrochen,2017-09-27 21:31:26,Thale,06502,DE,PayPal,0.0,120.54,kostenloser Versand!,0.0,0.0,128.98,8.44,2,"Bio Kaltgepresstes Extra natives Olivenol Alma Oliva 3 Liter Säure 0,18",2,32.7,,,,pergamo
1512,1706,Abgeschlossen,2017-09-28 15:26:17,Salzgitter,38228,DE,PayPal,0.0,44.86,bis 1kg,3.6916,0.0,51.95,3.4,1,"Kaltgepresstes Extra natives Olivenol German BAENA 5 Liter Säure 0,3-0,5",1,44.86,,,,pergamo
2119,1716,Abgeschlossen,2017-10-03 19:20:29,DUsseldorf,40591,DE,PayPal,0.0,67.22,kostenloser Versand!,0.0,0.0,71.92,4.71,1,Naturlicher Kastanien-Honig 400 gr,8,8.4,,,,pergamo
1105,1725,Abgeschlossen,2017-10-07 11:23:53,Siegen,57080,DE,PayPal,0.0,39.03,bis 1kg,3.6916,0.0,45.71,2.99,1,Schwarze Oliven Gold 800g,2,5.52,,,,pergamo
1105,1725,Abgeschlossen,2017-10-07 11:23:53,Siegen,57080,DE,PayPal,0.0,39.03,bis 1kg,3.6916,0.0,45.71,2.99,2,Naturlicher WaltbUlUtenhonig 400 gr,4,7.0,,,,pergamo
1144,1735,Abgeschlossen,2017-10-21 23:48:39,NECKARSULM,74172,DE,PayPal,0.0,70.0,kostenloser Versand!,0.0,0.0,74.9,4.9,1,"Kaltgepresstes Extra natives Olivenol 750 ml Säure&lt;0,4%",10,7.0,,,,pergamo
2251,1736,Abgeschlossen,2017-10-25 18:09:18,Eschweiler,52249,DE,PayPal,0.0,31.78,bis 1kg,3.6916,0.0,37.95,2.48,1,Kaltgepresstes Extra natives Olivenol Alma Oliva Gran Seleccion 2 Liter Gran Seleccion,2,15.89,,,,pergamo
1910,1737,Abgeschlossen,2017-10-28 21:57:01,Rheinzabern,76764,DE,PayPal,0.0,33.64,bis 1kg,3.6916,0.0,39.95,2.61,1,"Kaltgepresstes Extra natives Olivenol Royal Premium Cazorla 500 ml Säure&lt;0,4%",3,11.21,,,,pergamo
1137,1741,Abgeschlossen,2017-11-10 11:29:56,Grafenwohr,92655,DE,PayPal,0.0,7.94,bis 1kg,3.6916,0.0,12.45,0.81,1,Natives Olivenol Extra 10 Stuck 14 ml Geschenkpaket,1,7.94,,,,pergamo
2261,1743,Abgeschlossen,2017-11-10 14:11:09,Steinhagen,18442,DE,PayPal,0.0,27.57,bis 1kg,3.6916,0.0,33.45,2.19,1,"Kaltgepresstes Extra natives Olivenol Parqueoliva 3 Liter Säure 0,18",1,27.57,,,,pergamo
1105,1776,Abgeschlossen,2017-11-21 22:38:45,Siegen,57080,DE,PayPal,0.0,18.58,bis 1kg,3.6916,0.0,23.83,1.56,1,Naturlicher WaltbUlUtenhonig 400 gr,2,7.0,,,,pergamo
1105,1776,Abgeschlossen,2017-11-21 22:38:45,Siegen,57080,DE,PayPal,0.0,18.58,bis 1kg,3.6916,0.0,23.83,1.56,2,Schwarze Oliven 700 g,1,4.58,,,,pergamo
1030,1778,Storniert/Abgebrochen,2017-11-25 02:32:40,Werdohl,58791,DE,SOFORT Uberweisung,0.0,30.83,Weight Based Shipping,5.514,0.0,38.89,2.54,1,"ANGEBOT Kaltgepresstes Extra natives Mild Olivenol Royal Cazorla 4x1L =4L Säure &lt; 0,4 %",1,30.83,,,,pergamo
