,Name,Market Cap (GBP$ Billion)
0,JPMorgan Chase,286.319
1,Industrial and Commercial Bank of China,252.834
2,Bank of America,238.272
3,Wells Fargo,225.588
4,China Construction Bank,188.519
5,HSBC Holdings PLC,160.593
6,Agricultural Bank of China,148.856
7,Citigroup Inc.,148.798
8,Bank of China,132.908
9,China Merchants Bank,89.804
10,Royal Bank of Canada,89.766
11,Banco Santander,84.736
12,Commonwealth Bank,82.195
13,Mitsubishi UFJ Financial Group,81.78
14,Toronto-Dominion Bank,79.428
15,BNP Paribas,75.626
16,Goldman Sachs,73.756
17,Sberbank of Russia,73.123
18,Morgan Stanley,72.984
19,U.S. Bancorp,69.254
20,HDFC Bank,64.77
21,Itaú Unibanco,63.135
22,Westpac,61.932
23,Scotiabank,57.821
24,ING Group,57.801
25,UBS,55.283
26,Charles Schwab,54.384
27,PNC Financial Services,52.913
28,Lloyds Banking Group,52.186
29,Sumitomo Mitsui Financial Group,49.311
30,Bank of Communications,49.128
31,Australia and New Zealand Banking Group,48.666
32,Banco Bradesco,47.471
33,National Australia Bank,46.723
34,Intesa Sanpaolo,45.432
35,Banco Bilbao Vizcaya Argentaria,44.44
36,Japan Post Bank,44.328
37,The Bank of New York Mellon,43.814
38,Shanghai Pudong Development Bank,43.062
39,Industrial Bank (China),42.031
40,Bank of China (Hong Kong),40.611
41,Bank of Montreal,38.95
42,Crédit Agricole,38.188
43,DBS Bank,37.7
44,Nordea,37.488
45,Capital One,37.431
46,NatWest Group,36.979
47,Mizuho Financial Group,36.633
48,Credit Suisse,35.493
49,Postal Savings Bank of China,35.117
50,China Minsheng Bank,35.097
51,UniCredit,34.992
52,China CITIC Bank,34.753
53,Hang Seng Bank,33.816
54,Société Générale,33.728
55,Barclays,33.58
56,Canadian Imperial Bank of Commerce,31.892
57,Bank Central Asia,31.745
58,Truist Financial,30.704
59,Oversea-Chinese Banking Corp,30.293
60,State Bank of India,29.708
61,State Street,29.127
62,Deutsche Bank,28.306
63,KBC Bank,28.12
64,Danske Bank,27.994
65,Ping An Bank,27.826
66,Standard Chartered,27.332
67,United Overseas Bank,25.728
68,QNB Group,24.579
69,Bank Rakyat,24.228
