,Title,Price,Km,Year,Distance,Description
0,SUCHE Honda Yazz Eleganz Automatik,15.000 € VB,Gesuch 40.000,2016,33607 Mitte (26 km),Barzahler SUCHT Honda Yazz in der Ausstattungsvariante - Eleganz - mit Automatic-Getriebe (ist...
1,Honda Jazz 1.4 LS,3.999 €,142.000,2006,59609 Anröchte (27 km),"Sonderausstattung: Metallic-Lackierung Weitere Ausstattung: Airbag Fahrer-/Beifahrerseite,..."
2,Honda Jazz Elegance 2. HAND NAVI KAMERA SHZ BLUETOOTH,15.990 €,40.000,2017,33813 Oerlinghausen (27 km),"Herzlich Wilkommen,  Wir freuen uns sehr, dass wir mit unserem Angebot Ihr Interesse geweckt..."
3,Honda Jazz 1.3 i-VTEC Trend CVT*SCHECKHEFT*8-FACH*,13.380 €,65.718,2017,46117 Oberhausen (112 km),• Fahrer/Beifahrerairbag • Beifahrerairbag abschaltbar •...
4,Honda Jazz 1.3 Comfort,17.980 €,51.780,2019,30880 Laatzen (110 km),"Honda Jazz: Mit CVT Automatik, Navigation & mehr! Abbildung ist als unverbindlich zu betrachten und..."
5,Auto Honda,4.700 €,80.000,2008,40699 Erkrath (122 km),Reifen 1 Jahre alt Öl Getriebe wurde erneut Dach Kamera selbst installiert Sitzbezug Kunstleder...
6,Honda Jazz 1.4 Comfort| Scheckh.| TÜV NEU| Klimaaut.,3.690 €,181.700,2009,29227 Celle (143 km),TÜV NEU Inspektion NEU Scheckheftgepflegt bei...
7,Honda Jazz 1.4 LS,999 €,95.105,2004,18273 Güstrow (336 km),"Sonderausstattung: Metallic-Lackierung Weitere Ausstattung: Airbag Fahrer-/Beifahrerseite,..."
8,Honda Jazz Trend i Multif.Lenkrad Klima CD AUX USB MP3,7.990 €,143.215,2011,18146 Rostock (358 km),Ausstattungspakete: - Klimaanlage: - Anti-Blockier-System (ABS): Elektr. Bremskraftverteilung -...
9,"Guten Tag ,das Auto zu verkaufe",3.500 € VB,175.666,2005,12689 Marzahn (360 km),Verkaufe meinen sehr gut erhaltenen Honda Jazz 1.4 ES (83PS) von 2005. Der TÜV ( bis 9 2023) wurde...
10,Honda jazz hybrid Automatik,5.800 € VB,280.000,2012,12687 Marzahn (360 km),Ich verkaufe mein Honda Motor Getriebe lauft super klima alles funktioniert super
11,Honda Jazz 1.4 CVT ES,4.999 €,43.000,2005,89073 Ulm (394 km),"Scheckheft gepflegter Garagenwagen (EZ 9/2005) in sehr gutem Zustand, nur 43000km, leichte..."
12,Honda Jazz 1.2 Trend Klima,2.000 €,183.464,2009,84030 Ergolding (448 km),"Guten Tag, zum Verkauf steht hier ein Honda Jazz. Motor Ok. Getriebe Ok. Kein Tüv!! Bei..."
