
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
7280,66f11378-3936-48b6-b9b8-278dab5c7615.binning_data.json,4570966,6000,88,2020-06-03 22:00:00.231,com.sec.android.app.shealth,2020-06-03 22:00:00.231,,3.0555556,5416.13,296.18,7192,zub8fSqg+I,com.sec.android.app.shealth,0,66f11378-3936-48b6-b9b8-278dab5c7615.achievement.json,66f11378-3936-48b6-b9b8-278dab5c7615,1591142400000,
7280,8d23ec26-7ceb-4b3e-916a-6b120d3caf6b.binning_data.json,4571024,6000,88,2020-06-03 20:03:18.442,com.sec.android.app.shealth,2020-06-03 08:16:59.509,8d23ec26-7ceb-4b3e-916a-6b120d3caf6b.source_info.json,1.1848832,5416.13,296.18,7192,VfS0qUERdZ,com.sec.android.app.shealth,0,8d23ec26-7ceb-4b3e-916a-6b120d3caf6b.achievement.json,8d23ec26-7ceb-4b3e-916a-6b120d3caf6b,1591142400000,
864,eed8728c-aa5d-4122-9c79-170fd322158d.binning_data.json,471977,6000,0,2020-06-04 22:00:00.575,com.sec.android.app.shealth,2020-06-04 22:00:00.575,,1.6666665,656.87,33.88,864,zub8fSqg+I,com.sec.android.app.shealth,0,eed8728c-aa5d-4122-9c79-170fd322158d.achievement.json,eed8728c-aa5d-4122-9c79-170fd322158d,1591228800000,
1894,946f6291-cca8-4c09-b4de-776e318766d6.binning_data.json,1188037,6000,0,2020-06-06 22:17:35.483,com.sec.android.app.shealth,2020-06-06 22:17:35.483,,1.7222222,1426.9,78.12,1894,zub8fSqg+I,com.sec.android.app.shealth,0,946f6291-cca8-4c09-b4de-776e318766d6.achievement.json,946f6291-cca8-4c09-b4de-776e318766d6,1591401600000,
864,20a59717-3e69-47bb-ab74-510c3951fd0c.binning_data.json,471991,6000,0,2020-06-04 13:36:19.096,com.sec.android.app.shealth,2020-06-04 00:33:58.024,20a59717-3e69-47bb-ab74-510c3951fd0c.source_info.json,1.3916998,656.87,33.88,864,VfS0qUERdZ,com.sec.android.app.shealth,0,20a59717-3e69-47bb-ab74-510c3951fd0c.achievement.json,20a59717-3e69-47bb-ab74-510c3951fd0c,1591228800000,
884,a26c7d65-f6a9-4a11-8dfd-552a92b1a857.binning_data.json,496979,6000,0,2020-06-07 22:00:00.473,com.sec.android.app.shealth,2020-06-07 22:00:00.473,,1.8888888,681.62,36.26,884,zub8fSqg+I,com.sec.android.app.shealth,0,a26c7d65-f6a9-4a11-8dfd-552a92b1a857.achievement.json,a26c7d65-f6a9-4a11-8dfd-552a92b1a857,1591488000000,
1894,b0f8737a-b238-461f-b97c-aff4a93f00ef.binning_data.json,1188060,6000,0,2020-06-06 20:54:20.749,com.sec.android.app.shealth,2020-06-06 07:41:01.449,b0f8737a-b238-461f-b97c-aff4a93f00ef.source_info.json,1.2010334,1426.9,78.12,1894,VfS0qUERdZ,com.sec.android.app.shealth,0,b0f8737a-b238-461f-b97c-aff4a93f00ef.achievement.json,b0f8737a-b238-461f-b97c-aff4a93f00ef,1591401600000,
2492,b72e76ff-d24c-41de-9557-75cb2556b886.binning_data.json,1450980,6000,0,2020-06-09 22:32:32.811,com.sec.android.app.shealth,2020-06-09 22:32:32.811,,1.7777778,1921.27,103.16999,2492,zub8fSqg+I,com.sec.android.app.shealth,0,b72e76ff-d24c-41de-9557-75cb2556b886.achievement.json,b72e76ff-d24c-41de-9557-75cb2556b886,1591660800000,
1877,2e9aa83f-c90a-4ba7-9d00-7d12e85d6e36.binning_data.json,1137646,6000,0,2020-06-10 22:46:34.704,com.sec.android.app.shealth,2020-06-10 22:46:34.704,,1.7222222,1389.35,75.19,1877,zub8fSqg+I,com.sec.android.app.shealth,0,2e9aa83f-c90a-4ba7-9d00-7d12e85d6e36.achievement.json,2e9aa83f-c90a-4ba7-9d00-7d12e85d6e36,1591747200000,
884,f8190f4a-e437-48f5-92ac-ff7dc0b82a87.binning_data.json,496990,6000,0,2020-06-07 14:48:22.683,com.sec.android.app.shealth,2020-06-07 08:10:01.145,f8190f4a-e437-48f5-92ac-ff7dc0b82a87.source_info.json,1.3714956,681.62,36.26,884,VfS0qUERdZ,com.sec.android.app.shealth,0,f8190f4a-e437-48f5-92ac-ff7dc0b82a87.achievement.json,f8190f4a-e437-48f5-92ac-ff7dc0b82a87,1591488000000,
1310,633f278b-7f3f-4f40-ab04-5144c5a6af21.binning_data.json,768609,6000,0,2020-06-05 17:15:48.179,com.sec.android.app.shealth,2020-06-05 11:35:21.847,633f278b-7f3f-4f40-ab04-5144c5a6af21.source_info.json,1.2736115,978.91,53.12,1310,VfS0qUERdZ,com.sec.android.app.shealth,0,633f278b-7f3f-4f40-ab04-5144c5a6af21.achievement.json,633f278b-7f3f-4f40-ab04-5144c5a6af21,1591315200000,
