
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
7778,4,0,10,2022-05-22 03:20:00.000,230002,,2022-05-22 03:31:51.290,2022-05-22 03:31:51.289,10,0.9166667,7.13,0.41,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 03:20:59.999,c7e9a42f-f681-7331-2c63-b256ca387959,
27111,4,0,42,2022-05-22 03:45:00.000,230002,,2022-05-22 03:55:01.186,2022-05-22 03:55:01.186,42,1.1666666,31.63,1.71,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 03:45:59.999,8b9861a0-3b4b-37a6-fb93-45bdd8162f4f,
15241,4,0,38,2022-05-22 03:56:00.000,230002,,2022-05-22 04:15:01.134,2022-05-22 04:15:01.134,38,1.9722222,30.06,1.67,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 03:56:59.999,ffbdad82-86e7-4fc2-27b4-211092ac584b,
9993,4,0,21,2022-05-22 07:40:00.000,230002,,2022-05-22 07:42:38.328,2022-05-22 07:40:43.360,21,1.6041131,16.03,0.971,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 07:40:59.999,adabfd66-0ae3-5af4-e49a-b3a0861c8e98,
6752,4,0,12,2022-05-22 07:52:00.000,230002,,2022-05-22 07:52:08.097,2022-05-22 07:52:00.102,12,1.3694911,9.247,0.482,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 07:52:59.999,8598ca98-8d14-23ab-5735-92436c411d49,
16998,4,0,25,2022-05-22 08:29:00.000,230002,,2022-05-22 08:29:52.966,2022-05-22 08:29:50.301,25,1.1118819,18.9,1.001,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 08:29:59.999,d28f39ed-a9b9-ea24-4f13-81df06dd482f,
14970,4,0,26,2022-05-22 03:36:00.000,230002,,2022-05-22 03:45:00.382,2022-05-22 03:45:00.381,26,1.3333334,19.96,1.0,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 03:36:59.999,d8cc31fa-bf63-9c3e-fb88-4a382aeb502c,
2131,4,0,3,2022-05-22 03:33:00.000,230002,,2022-05-22 03:35:01.125,2022-05-22 03:35:01.125,3,1.0555556,2.25,0.12,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 03:33:59.999,d261540c-a4bf-4a00-b9f3-c07294e9aa0c,
12218,4,0,16,2022-05-22 08:51:00.000,230002,,2022-05-22 08:54:33.437,2022-05-22 08:54:33.437,16,0.9444444,11.54,0.72,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 08:51:59.999,3f3c9dc4-0309-549f-2e8f-b495d9afa0b5,
11621,4,0,17,2022-05-22 03:50:00.000,230002,,2022-05-22 03:55:01.229,2022-05-22 03:55:01.229,17,1.0833334,12.59,0.7,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 03:50:59.999,2d534eb4-48a7-10ef-8242-5950fba253e3,
4596,4,0,14,2022-05-22 09:14:00.000,230002,,2022-05-22 09:15:01.113,2022-05-22 09:15:01.113,14,2.5277777,11.62,0.47,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 09:14:59.999,6eb7d435-98c6-8b54-f69f-e9b585b72300,
5194,4,0,11,2022-05-22 03:48:00.000,230002,,2022-05-22 03:55:01.222,2022-05-22 03:55:01.222,11,1.75,9.09,0.42,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 03:48:59.999,6b737277-d5da-12ff-d631-14327e282be9,
30375,4,0,50,2022-05-22 09:30:00.000,230002,,2022-05-22 09:32:56.342,2022-05-22 09:32:56.341,50,1.25,37.97,2.07,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 09:30:59.999,47bf6397-5f34-eae1-97a6-77e13dccc1d6,
28516,4,0,48,2022-05-22 07:17:00.000,230002,,2022-05-22 07:23:43.304,2022-05-22 07:23:43.304,48,1.3055556,37.23,1.94,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 07:17:59.999,4ccc2a9f-1fe4-8f35-196a-76438639f412,
6209,4,0,10,2022-05-22 09:49:00.000,230002,,2022-05-22 09:50:38.455,2022-05-22 09:50:38.455,10,1.2222222,7.59,0.39,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 09:49:59.999,b7c576e4-aff2-bd30-ab64-8250bc78a48b,
9751,4,0,19,2022-05-22 07:43:00.000,230002,,2022-05-22 07:51:58.361,2022-05-22 07:51:58.361,19,1.5833334,15.44,0.73,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 07:43:59.999,5f3ad01c-729d-fb6e-3940-5ed55b127bb8,
