,job_title,publish,company,city,description,link,website,date,search_title
0,Production Quality Supervisor (m/w/d),vor 15 Stunden,Polizeipräsidium Gelsenkirchen,Bochum,"Molex CVS Bochum GmbH * Bochum * Feste Anstellung * Vollzeit - Wachsen Sie mit uns - Molex ist ein weltweit führender Anbieter innovativer elektronischer Lösungen, die Werte für unsere Kunden und die Gesellschaft schaffen. Unser Ziel ist es, das Leben der Menschen zu verbessern und die Welt zu einem besseren Ort zu machen. Mit einer Präsenz in mehr als 40 Ländern und mehr als 40.000 Mitarbeitenden bietet Molex ein umfassendes Angebot an Konnektivitätsprodukten, Dienstleistungen und Lösungen für Märkte wie Datenkommunikation, Medizin, Industrie, Automobil und Unterhaltungselektronik. in Bochum - Aufgrund von Wachstum sucht Molex einen Supervisor Quality Production (m/w/d) für die europäische Organisation in Bochum. Als Supervisor Quality Production (m/w/d) sind Sie u. a. für die Leitung der Qualitätsabteilung am Standort verantwortlich, bauen enge Beziehungen zu unsere",https://www.stepstone.de/stellenangebote--Production-Quality-Supervisor-m-w-d-Bochum-Molex-CVS-Bochum-GmbH--9329451-inline.html,stepstone,2023-03-14 20:29:42,Data Engineer
1,Sachbearbeiter/in Intel-Officer-Sentinel (w/m/d) (Data Scientist),vor 18 Stunden,Beckhoff Automation GmbH & Co. KG,Gelsenkirchen,"eine abgeschlossene einschlägige Hochschulausbildung (Dipl.-FH oder Bachelor) im Bereich Datenwissenschaft, Science, Informatik, Statistik oder Mathematik oder",https://www.stepstone.de/stellenangebote--Sachbearbeiter-in-Intel-Officer-Sentinel-w-m-d-Data-Scientist-Gelsenkirchen-Marketplace-Hub--9328607-inline.html,stepstone,2023-03-14 20:29:42,Data Engineer
2,"Data Scientist (m/w/d) Application / (Data Analytics, Condition Monitoring)",vor 1 Tag,Beckhoff Automation GmbH & Co. KG,Verl,"Kunden- und Applikationssupport für eine Auswahl bestimmter Produkte aus dem Bereich Scientific Automation mit dem Schwerpunkt Analytics und Condition Monitoring * erfolgreich abgeschlossenes Studium der Fachrichtung Automatisierungstechnik, Science, Elektrotechnik, Mathematik, Maschinenbau, Physik oder einer vergleichbaren Richtung",https://www.stepstone.de/stellenangebote--Data-Scientist-m-w-d-Application-Data-Analytics-Condition-Monitoring-Verl-Beckhoff-Automation-GmbH-Co-KG--9325862-inline.html,stepstone,2023-03-14 20:29:42,Data Engineer
3,"Data Scientist (m/w/d) Application / Support (Simulation, Machine Learning)",vor 1 Tag,Manufactum GmbH,Verl,"erfolgreich abgeschlossenes Studium der Fachrichtung Automatisierungstechnik, Data Science, Elektrotechnik, Mathematik, Maschinenbau, Physik oder einer vergleichbaren Richtung",https://www.stepstone.de/stellenangebote--Data-Scientist-m-w-d-Application-Support-Simulation-Machine-Learning-Verl-Beckhoff-Automation-GmbH-Co-KG--9325861-inline.html,stepstone,2023-03-14 20:29:42,Data Engineer
4,Process- & Data Architect (d/m/w),vor 1 Tag,Ratbacher GmbH,Waltrop bei Dortmund,Für unsere Zentrale in Waltrop (bei Dortmund) suchen wir einen Process- & Data Architect (d/m/w),https://www.stepstone.de/stellenangebote--Process-Data-Architect-d-m-w-Waltrop-bei-Dortmund-Manufactum-GmbH--8744496-inline.html,stepstone,2023-03-14 20:29:42,Data Engineer
5,DevOps Engineer (m/w/d) - DevOps Spezialist,vor 1 Tag,SIGNAL IDUNA Gruppe,"Bielefeld, Stuttgart, Dresden oder Regensburg","Dann bewirb dich jetzt als DevOps Engineer (m/w/d) bei unserem Mandanten am Standort in Bielefeld, Stuttgart, Dresden oder Regensburg.",https://www.stepstone.de/stellenangebote--DevOps-Engineer-m-w-d-DevOps-Spezialist-Bielefeld-Stuttgart-Dresden-oder-Regensburg-Ratbacher-GmbH--9324212-inline.html,stepstone,2023-03-14 20:29:42,Data Engineer
6,Senior Enterprise Architekt (m/w/d),vor 3 Tagen,REMONDIS IT Services GmbH & Co. KG,"Dortmund, Hamburg","Kenntnisse zu modernen IT-Architekturen (Erfahrungsschwerpunkte wahlweise in Cloud, DevOps, Data, Business Architektur, Micro Services, Softwarearchitektur, Infrastrukturarchitektur)",https://www.stepstone.de/stellenangebote--Senior-Enterprise-Architekt-m-w-d-Dortmund-Hamburg-SIGNAL-IDUNA-Gruppe--9257441-inline.html,stepstone,2023-03-14 20:29:42,Data Engineer
7,DevOps Engineer (m/w/d),vor 3 Tagen,EVIDENT Technology Center Europe GmbH,Lünen,Als DevOps Engineer unterstützt Du unsere crossfunktionalen Teams bei der Entwicklung qualitativ hochwertiger Softwarelösungen für unsere Kunden * Zudem verfügst Du über einschlägige Berufserfahrung als DevOps aus einem heterogenen Umfeld,https://www.stepstone.de/stellenangebote--DevOps-Engineer-m-w-d-Luenen-REMONDIS-IT-Services-GmbH-Co-KG--9266198-inline.html,stepstone,2023-03-14 20:29:42,Data Engineer
8,Software Developer DevOps (m/w/d) Anwendungsentwicklung und Deployment,vor 3 Tagen,GOLDBECK GmbH,Münster,"EVIDENT Technology Center Europe GmbH * Münster * Feste Anstellung * Home Office möglich,Vollzeit - Olympus Scientific Solutions ist jetzt Evident! Wissenschaft ist unser Antrieb - In unserem Unternehmen Evident haben wir uns dem Geist der Wissenschaft verschrieben – Innovation und Forschung stehen im Mittelpunkt unseres Handelns. Was uns als Unternehmen ausmacht? Evident liefert innovative Lösungen, die einen Beitrag für eine sicherere und gesündere Welt leisten. In den beiden Geschäftsfeldern Life Science Solutions und Industry Solutions unterstützen wir unsere Kunden beispielsweise bei der Erforschung neuer medizinischer Durchbrüche oder bei der Inspektion von Infrastruktur. Durch die Erforschung und Weiterentwicklung neuer Technologien schaffen wir Spitzenprodukte, die in zahlreichen Bereichen Anwendung finden – dazu zählen die klinische und biowissenschaftliche F",https://www.stepstone.de/stellenangebote--Software-Developer-DevOps-m-w-d-Anwendungsentwicklung-und-Deployment-Muenster-EVIDENT-Technology-Center-Europe-GmbH--9265936-inline.html,stepstone,2023-03-14 20:29:42,Data Engineer
9,PowerPlatform Engineer (m/w/d),vor 3 Tagen,Volkswagen Infotainment GmbH,"Bielefeld, Leipzig, Plauen","Praktische Erfahrungen in der Anwendung der Microsoft PowerPlatform (Power Apps, Power Automate, Power BI, Power Virtual Agents, AI Builder) und in Microsoft Azure",https://www.stepstone.de/stellenangebote--PowerPlatform-Engineer-m-w-d-Bielefeld-Leipzig-Plauen-GOLDBECK-GmbH--9262545-inline.html,stepstone,2023-03-14 20:29:42,Data Engineer
